Date,Adj Close,Close,High,Low,Open,Volume
12/2/2020,66.83000183105469,66.83000183105469,67.11000061035156,62.310001373291016,65.38999938964844,1059000
12/3/2020,80.34999847,80.34999847,83.16999816894531,65.91999816894531,66.98999786376953,9344400
12/4/2020,85.04000091552734,85.04000091552734,85.94999694824219,78.02999877929688,82.5,5463900
12/7/2020,91.72000122070312,91.72000122070312,99.98999786376953,88.01999664,90.02999877929688,7528100
12/8/2020,90.59999847,90.59999847,97.65000153,89.34999847,97.30999755859375,3844500
12/9/2020,87.38999938964844,87.38999938964844,93.75,84.09999847,92.01000213623047,2926400
12/10/2020,99.69999694824219,99.69999694824219,111.68000030517578,85.00700378417969,85.23000336,7697800
12/11/2020,91.58999633789062,91.58999633789062,101.25,87.56999969482422,100.75,5590400
12/14/2020,92,92,98.08999633789062,90.09999847,97.41999816894531,2746300
12/15/2020,90.80000305175781,90.80000305175781,93.17900085449219,86.32099914550781,92.23000336,2846200
12/16/2020,96.36000061035156,96.36000061035156,96.38999938964844,89.63999938964844,91.87999725341797,2112500
12/17/2020,103.55999755859375,103.55999755859375,105.26799774169922,94.41500091552734,96.66000366210938,3574100
12/18/2020,106.51000213623047,106.51000213623047,108.9800033569336,99.76000213623047,107.1500015258789,2792600
12/21/2020,109.06999969482422,109.06999969482422,111.08999633789062,100.25,104,2848100
12/22/2020,119.08000183105469,119.08000183105469,119.5,110.73999786376953,115,3424400
12/23/2020,134.4499969482422,134.4499969482422,137.3000030517578,122.30000305175781,122.63999938964844,5511800
12/24/2020,125.11000061035156,125.11000061035156,131.61000061035156,122.55000305175781,129.5,2812700
12/28/2020,107.66999816894531,107.66999816894531,120.44999694824219,106.01000213623047,119,6543600
12/29/2020,118.33999633789062,118.33999633789062,120.80000305175781,110.5,110.52999877929688,6793600
12/30/2020,129.88999938964844,129.88999938964844,131.21499633789062,118.30000305175781,118.30000305175781,4738400
12/31/2020,122.5,122.5,130.77999877929688,119.66000366210938,129.5500030517578,4879900
1/4/2021,113.36000061035156,113.36000061035156,126.34200286865234,111.05999755859375,126.05000305175781,3713000
1/5/2021,122,122,124.16999816894531,114.5,114.69000244140625,2566300
1/6/2021,119.33999633789062,119.33999633789062,123.72000122070312,113.61000061035156,118,2217600
1/7/2021,152.17999267578125,152.17999267578125,152.99000549316406,122.69000244140625,123.01000213623047,6784400
1/8/2021,160.74000549316406,160.74000549316406,168.58999633789062,142,148.17999267578125,7505100
1/11/2021,183.25999450683594,183.25999450683594,184,154.10000610351562,154.9499969482422,7535700
1/12/2021,172.99000549316406,172.99000549316406,188.3000030517578,166,170,8202600
1/13/2021,176.63999938964844,176.63999938964844,187,175.5,179.0399932861328,4564200
1/14/2021,158.5,158.5,173.47999572753906,156.49000549316406,171.5,15223600
1/15/2021,147.74000549316406,147.74000549316406,158.19000244140625,143.13999938964844,153.58999633789062,9373700
1/19/2021,142.63999938964844,142.63999938964844,150.8000030517578,138.8000030517578,150.30999755859375,6550100
1/20/2021,145.2100067138672,145.2100067138672,153.8800048828125,143.8699951171875,146.8300018310547,4136500
